File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
..\..\Data/09RaN4UIEharoVW5g8y6_responses.xlsx,Sheet1,Conf,0.21,0.00,0.35,0.00,0.00,0.43,0.60,Yes
..\..\Data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx,Sheet1,Conf,0.01,0.00,0.12,0.00,0.00,0.10,0.50,Yes
..\..\Data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx,Sheet1,Conf,0.45,0.35,0.53,0.00,0.00,0.39,0.72,Yes
..\..\Data/0dJglgq09qU4bHYDfkET_responses.xlsx,Sheet1,Conf,0.90,0.00,0.90,0.41,0.00,2.00,0.96,Yes
..\..\Data/0frgcAbRqChDchaRBwUo_responses.xlsx,Sheet1,Conf,0.27,0.00,0.48,1.16,0.62,1.68,0.84,Yes
..\..\Data/0QdYxTabECPS8sKiqFTT_responses.xlsx,Sheet1,Conf,0.13,0.00,0.22,0.71,0.40,1.03,0.73,Yes
..\..\Data/0VrYliuVSykEMQQiLToH_responses.xlsx,Sheet1,Conf,0.08,0.01,0.16,0.28,0.02,0.54,0.61,Yes
..\..\Data/11qM4eXcxkc1hI23kKW9_responses.xlsx,Sheet1,Conf,0.52,0.15,0.61,0.07,0.00,0.99,0.77,Yes
..\..\Data/15TRDE8yE1yymY1CUJF7_responses.xlsx,Sheet1,Conf,0.24,0.00,0.46,0.00,0.00,0.44,0.62,
..\..\Data/18Qs0CslyhfR5XeoHYbb_responses.xlsx,Sheet1,Conf,0.00,0.00,0.21,0.00,0.00,0.14,0.50,
..\..\Data/1ak7yQUoIX150qiE0LYe_responses.xlsx,Sheet1,Conf,0.56,0.00,0.70,0.00,0.00,0.77,0.78,
..\..\Data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx,Sheet1,Conf,0.53,0.00,0.73,0.76,0.00,1.55,0.86,
..\..\Data/20kmkNdmxVqWCIS3cNfy_responses.xlsx,Sheet1,Conf,0.18,0.00,0.42,0.64,0.11,1.03,0.73,
..\..\Data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx,Sheet1,Conf,0.43,0.06,0.57,0.82,0.34,1.38,0.83,
..\..\Data/2BU3ABHCxKPryrTskobX_responses.xlsx,Sheet1,Conf,0.00,0.00,0.12,0.00,0.00,0.10,0.50,
..\..\Data/35dAEhLbJITN0UNcxYTm_responses.xlsx,Sheet1,Conf,0.02,0.00,0.09,0.19,0.00,0.46,0.56,
..\..\Data/3gjgXV5oRLIHsS9R4idI_responses.xlsx,Sheet1,Conf,0.00,0.00,0.10,0.00,0.00,0.10,0.50,
..\..\Data/3PwxlD6Y7RDPN1Ctf82w_responses.xlsx,Sheet1,Conf,0.18,0.00,0.38,0.71,0.24,1.13,0.74,
..\..\Data/3U0or9D0yXooHchaEbQ4_responses.xlsx,Sheet1,Conf,0.39,0.11,0.50,0.84,0.43,1.38,0.83,
..\..\Data/42EdqEDitqM3OH15Uyya_responses.xlsx,Sheet1,Conf,0.02,0.00,0.21,0.00,0.00,0.24,0.51,
..\..\Data/4gycIiueXXKkAQ0sPtji_responses.xlsx,Sheet1,Conf,0.00,0.00,0.20,0.59,0.23,0.81,0.66,
..\..\Data/4o9gKp3jnoFy8J2pmGVh_responses.xlsx,Sheet1,Conf,0.57,0.32,0.90,2.00,0.00,2.00,0.94,
..\..\Data/4SeUCr4ST8Oa40LiOKxd_responses.xlsx,Sheet1,Conf,0.19,0.00,0.44,0.00,0.00,0.41,0.59,
..\..\Data/5hEVrS5OUJ37PXjM2jVj_responses.xlsx,Sheet1,Conf,0.05,0.00,0.35,0.00,0.00,0.20,0.52,
..\..\Data/5jcUEO9WFjMe4oUaPfCM_responses.xlsx,Sheet1,Conf,0.00,0.00,0.05,0.00,0.00,0.19,0.50,
..\..\Data/5KsLDbBTCb9P7hFB9xVx_responses.xlsx,Sheet1,Conf,0.24,0.05,0.34,0.09,0.00,0.50,0.64,
..\..\Data/665rTvPXsHfxTWQva0Td_responses.xlsx,Sheet1,Conf,0.24,0.00,0.35,0.30,0.00,1.05,0.68,
..\..\Data/6hMH5A4co701o6YQqvxh_responses.xlsx,Sheet1,Conf,0.00,0.00,0.15,0.02,0.00,0.24,0.51,
..\..\Data/7ND4KAS1RxhJDpUwDTwU_responses.xlsx,Sheet1,Conf,0.56,0.00,0.82,0.00,0.00,0.78,0.78,
..\..\Data/7xvrlhTGaMaefbV3JmYm_responses.xlsx,Sheet1,Conf,0.00,0.00,0.43,1.00,0.28,1.20,0.75,
..\..\Data/8080qLaYPMjGX1vGUvI4_responses.xlsx,Sheet1,Conf,0.03,0.00,0.20,0.00,0.00,0.22,0.51,
..\..\Data/86SWdPFJX1UrRk3KXIhK_responses.xlsx,Sheet1,Conf,0.15,0.00,0.33,1.01,0.58,1.43,0.79,
..\..\Data/8Oo65iouDr7MttFr8eU9_responses.xlsx,Sheet1,Conf,0.13,0.00,0.53,0.80,0.02,1.21,0.75,
..\..\Data/90DNbHPl7P8OyednEqux_responses.xlsx,Sheet1,Conf,0.21,0.00,0.52,1.26,0.70,1.66,0.84,
..\..\Data/9h0L5vT6bf7msMH7rpBb_responses.xlsx,Sheet1,Conf,0.10,0.00,0.65,0.40,0.00,0.76,0.65,
..\..\Data/9MPVq5xRrEEViGom5moa_responses.xlsx,Sheet1,Conf,0.42,0.00,0.61,0.70,0.17,1.29,0.81,
..\..\Data/9NKjDpjUgYbaskMUxY0E_responses.xlsx,Sheet1,Conf,0.34,0.00,0.54,0.51,0.00,1.12,0.76,
..\..\Data/9PM1e0t89EI4lSHm1mau_responses.xlsx,Sheet1,Conf,0.22,0.00,0.36,0.00,0.00,0.61,0.61,
..\..\Data/9rpiFGFvclamDrbyalHn_responses.xlsx,Sheet1,Conf,0.57,0.00,0.90,0.00,0.00,0.93,0.78,
..\..\Data/9wMxnd2HhYrD63Ni7y9R_responses.xlsx,Sheet1,Conf,0.27,0.00,0.46,0.00,0.00,0.49,0.63,
..\..\Data/a0mGaLjGavE4oQHYsCUv_responses.xlsx,Sheet1,Conf,0.49,0.00,0.61,0.96,0.01,1.98,0.87,
..\..\Data/a6d5HiN2MT67uLxuw77D_responses.xlsx,Sheet1,Conf,0.00,0.00,0.13,0.00,0.00,0.17,0.50,
..\..\Data/a7UHvqavy3wNbVwTLSPW_responses.xlsx,Sheet1,Conf,0.21,0.00,0.40,0.73,0.33,1.15,0.76,
..\..\Data/a9myavWihbGPimDfeBuw_responses.xlsx,Sheet1,Conf,0.51,0.00,0.68,0.75,0.00,1.64,0.85,
..\..\Data/ACgyhnxLa8BwQEp0jqg4_responses.xlsx,Sheet1,Conf,0.55,0.00,0.69,0.00,0.00,0.82,0.77,
..\..\Data/aFdlob7xQe0Nkoo5bIM0_responses.xlsx,Sheet1,Conf,0.09,0.00,0.30,0.83,0.39,1.16,0.74,
..\..\Data/aFWuMmWP6ingJtdOPLps_responses.xlsx,Sheet1,Conf,0.09,0.00,0.23,0.00,0.00,0.41,0.55,
..\..\Data/aJcrJ8M1IchvYCFKj7lp_responses.xlsx,Sheet1,Conf,0.00,0.00,0.16,0.00,0.00,0.16,0.50,
..\..\Data/Ak2Wvv4oJPUi339vLe63_responses.xlsx,Sheet1,Conf,0.34,0.15,0.47,0.55,0.19,0.92,0.77,
..\..\Data/aknEH1A6P6TPkt4UtWP4_responses.xlsx,Sheet1,Conf,0.05,0.00,0.20,0.17,0.00,0.45,0.57,
..\..\Data/aM3Kw1D888nylpTvov6u_responses.xlsx,Sheet1,Conf,0.01,0.00,0.08,0.02,0.00,0.26,0.51,
..\..\Data/APb1yHY02MDw6uIMXsGP_responses.xlsx,Sheet1,Conf,0.00,0.00,0.26,0.04,0.00,0.26,0.51,
..\..\Data/aq479F2OiHvxdVs3uE1d_responses.xlsx,Sheet1,Conf,0.26,0.04,0.38,0.12,0.00,0.58,0.65,
..\..\Data/aTLctsSSDxDNOxjny6hM_responses.xlsx,Sheet1,Conf,0.90,0.68,0.90,1.65,0.82,2.00,0.97,
..\..\Data/b1UDYv3vLQsRXOqb33ga_responses.xlsx,Sheet1,Conf,0.33,0.13,0.45,0.00,0.00,0.31,0.67,
..\..\Data/BBhfuqXNkrBhghK87DsX_responses.xlsx,Sheet1,Conf,0.13,0.00,0.26,0.70,0.26,1.13,0.72,
..\..\Data/BBQgWA4Em8oSWMLx6pD6_responses.xlsx,Sheet1,Conf,0.53,0.32,0.64,1.06,0.60,1.52,0.89,
..\..\Data/bddlnTSAiLsaHFpS9AQp_responses.xlsx,Sheet1,Conf,0.23,0.00,0.49,0.16,0.00,0.59,0.65,
..\..\Data/bemm0iU4kWxNLDOLRuwt_responses.xlsx,Sheet1,Conf,0.14,0.00,0.22,0.00,0.00,0.56,0.57,
