File,WordFreq,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC
../data/09RaN4UIEharoVW5g8y6_responses.xlsx,AllFreq,Conf,0.212044841,4.08E-05,0.352908545,0,3.13E-05,0.432748377,0.605984034
../data/09RaN4UIEharoVW5g8y6_responses.xlsx,LoFreq,Conf,0.098342527,4.07E-05,0.356241187,0.106248022,3.13E-05,0.469709926,0.576128277
../data/09RaN4UIEharoVW5g8y6_responses.xlsx,HiFreq,Conf,0.249984097,4.08E-05,0.42612452,0,3.13E-05,0.499261559,0.62495246
../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx,AllFreq,Conf,0.012176746,4.45E-05,0.115592594,0,3.13E-05,0.100128169,0.506056316
../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx,LoFreq,Conf,0,6.60E-05,0.077998344,0,3.13E-05,0.087762325,0.499968329
../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx,HiFreq,Conf,0.084489878,4.07E-05,0.225319092,0,3.13E-05,0.200016658,0.542210592
../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx,AllFreq,Conf,0.449531202,0.34888268,0.52608532,0,3.13E-05,0.387268043,0.724719693
../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx,LoFreq,Conf,0.161558512,0.078093904,0.260328781,0,3.13E-05,0.266078011,0.580742468
../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx,HiFreq,Conf,0.70511856,0.542083503,0.821513106,0.489339868,8.14E-05,1.187311671,0.89237263
../data/0dJglgq09qU4bHYDfkET_responses.xlsx,AllFreq,Conf,0,4.07E-05,0.291543836,0.216471184,3.13E-05,0.579900892,0.560778008
../data/0dJglgq09qU4bHYDfkET_responses.xlsx,LoFreq,Conf,0,6.60E-05,0.193073978,0,3.13E-05,0.358648893,0.499968329
../data/0dJglgq09qU4bHYDfkET_responses.xlsx,HiFreq,Conf,0,4.07E-05,0.59990022,0.517004638,8.14E-05,0.997472092,0.64256834
../data/0frgcAbRqChDchaRBwUo_responses.xlsx,AllFreq,Conf,0.271387103,4.07E-05,0.477285078,1.160930432,0.620091562,1.677449988,0.849699947
../data/0frgcAbRqChDchaRBwUo_responses.xlsx,LoFreq,Conf,0.501945849,4.07E-05,0.753244471,1.270678034,8.15E-05,2.133649784,0.90774575
../data/0frgcAbRqChDchaRBwUo_responses.xlsx,HiFreq,Conf,0.038922823,4.07E-05,0.317997173,1.120565336,0.506904479,1.445961677,0.793965566
../data/0QdYxTabECPS8sKiqFTT_responses.xlsx,AllFreq,Conf,0.131838564,4.07E-05,0.22385367,0.705278832,0.39938456,1.022374547,0.731611042
../data/0QdYxTabECPS8sKiqFTT_responses.xlsx,LoFreq,Conf,0.178142651,4.07E-05,0.32689617,1.03365717,0.611927992,1.484401133,0.808736998
../data/0QdYxTabECPS8sKiqFTT_responses.xlsx,HiFreq,Conf,0.087301988,4.07E-05,0.203778412,0.431846744,0.036823068,0.793722249,0.653055159
../data/0VrYliuVSykEMQQiLToH_responses.xlsx,AllFreq,Conf,0.085667438,0.007574216,0.165732384,0.280538619,0.01562624,0.535279087,0.614662588
../data/0VrYliuVSykEMQQiLToH_responses.xlsx,LoFreq,Conf,0.176154081,4.92E-05,0.325264283,0.726058585,0.35268175,1.085150606,0.749547342
../data/0VrYliuVSykEMQQiLToH_responses.xlsx,HiFreq,Conf,0,6.60E-05,0.041824901,0,3.13E-05,0.21950239,0.499968329
../data/11qM4eXcxkc1hI23kKW9_responses.xlsx,AllFreq,Conf,0.408278652,0.119227588,0.543895942,0.441506778,8.15E-05,1.079001387,0.776572843
../data/11qM4eXcxkc1hI23kKW9_responses.xlsx,LoFreq,Conf,0.462896287,4.07E-05,0.653591033,0.650249112,8.15E-05,1.539393198,0.826483494
../data/11qM4eXcxkc1hI23kKW9_responses.xlsx,HiFreq,Conf,0.356040212,0.017794526,0.493300579,0.248512533,8.15E-05,1.020352083,0.722873284
../data/15TRDE8yE1yymY1CUJF7_responses.xlsx,AllFreq,Conf,0.174363837,4.07E-05,0.387671066,0.040567684,3.13E-05,0.409662901,0.59658958
../data/15TRDE8yE1yymY1CUJF7_responses.xlsx,LoFreq,Conf,0,6.60E-05,0.060299311,0,3.13E-05,0.06464588,0.499968329
../data/15TRDE8yE1yymY1CUJF7_responses.xlsx,HiFreq,Conf,0,4.07E-05,0.986204028,1.852218475,8.14E-05,2.55498942,0.903797631
