File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
../data/aJcrJ8M1IchvYCFKj7lp_responses.xlsx,NA,NA,0.04,0.00,0.18,0.00,0.00,0.19,0.52,
../data/Ak2Wvv4oJPUi339vLe63_responses.xlsx,NA,NA,0.34,0.15,0.47,0.55,0.19,0.92,0.77,
../data/aknEH1A6P6TPkt4UtWP4_responses.xlsx,NA,NA,0.05,0.00,0.20,0.17,0.00,0.45,0.57,
../data/aM3Kw1D888nylpTvov6u_responses.xlsx,NA,NA,0.01,0.00,0.08,0.02,0.00,0.26,0.51,
../data/APb1yHY02MDw6uIMXsGP_responses.xlsx,NA,NA,0.00,0.00,0.18,0.01,0.00,0.21,0.50,
../data/aq479F2OiHvxdVs3uE1d_responses.xlsx,NA,NA,0.26,0.04,0.38,0.12,0.00,0.58,0.65,
../data/aTLctsSSDxDNOxjny6hM_responses.xlsx,NA,NA,0.20,0.00,0.87,2.90,1.57,3.37,0.98,
../data/b1UDYv3vLQsRXOqb33ga_responses.xlsx,NA,NA,0.33,0.13,0.45,0.00,0.00,0.31,0.67,
../data/BBhfuqXNkrBhghK87DsX_responses.xlsx,NA,NA,0.13,0.00,0.26,0.70,0.26,1.13,0.73,
../data/BBQgWA4Em8oSWMLx6pD6_responses.xlsx,NA,NA,0.54,0.33,0.64,1.05,0.59,1.51,0.89,
../data/bddlnTSAiLsaHFpS9AQp_responses.xlsx,NA,NA,0.23,0.00,0.49,0.16,0.00,0.59,0.65,
../data/bemm0iU4kWxNLDOLRuwt_responses.xlsx,NA,NA,0.07,0.00,0.14,0.21,0.00,0.62,0.59,
../data/BEwXspCxVBrlwnnWoNNv_responses.xlsx,NA,NA,0.35,0.00,0.55,0.00,0.00,0.73,0.67,
../data/BhuXxSlAESArmyCtFEyf_responses.xlsx,NA,NA,0.40,0.00,0.59,0.07,0.00,0.68,0.71,
../data/BnnwA7h5gxb7c2jKGDjl_responses.xlsx,NA,NA,0.00,0.00,0.46,0.47,0.00,0.71,0.63,
../data/BRCnD6kItx98qCCRW7MO_responses.xlsx,NA,NA,0.03,0.00,0.46,1.33,0.67,1.62,0.83,
../data/brKsa3lhnOSooByTqaSi_responses.xlsx,NA,NA,0.04,0.00,0.26,0.89,0.47,1.15,0.75,
../data/bslCpghpkeRqiG5TypEt_responses.xlsx,NA,NA,0.00,0.00,0.22,0.12,0.00,0.36,0.53,
../data/cey7wlOYPHuh3eEbUA1L_responses.xlsx,NA,NA,0.00,0.00,0.25,0.00,0.00,0.18,0.50,
../data/Civ8jdtyhrJeU0JcJ5m4_responses.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,
../data/cj69Om7OukRikUDfOWXC_responses.xlsx,NA,NA,0.33,0.04,0.47,0.74,0.25,1.27,0.80,
../data/cLxXDFgr6nnroVYLHDx1_responses.xlsx,NA,NA,0.26,0.00,0.45,0.63,0.16,1.11,0.76,
