"File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL"
"../data/N4QNxBuOE1UQSrldTWO6_responses.xlsx","AllFreq",0.423088656079926,0,6.60408543905442e-05,0.0153713026923911,0,3.13384721580352e-05,0.0568204848908433,0.499968328757859,-267.990224840184
"../data/N4QNxBuOE1UQSrldTWO6_responses.xlsx","LoFreq",0.390989295417967,0,6.60408543905442e-05,0.0209229101026614,0,3.13384721580352e-05,0.0582442110471942,0.499968328757859,-201.814087104264
"../data/N4QNxBuOE1UQSrldTWO6_responses.xlsx","HiFreq",0.45748995921258,0,6.60408543905442e-05,0.0375615307589879,0,3.13384721580352e-05,0.137846634391526,0.499968328757859,-206.325676954302
"../data/Nb0lkuUSIll2q8a8N860_responses.xlsx","AllFreq",0.581206438575464,0.0750899976820505,4.0702767302251e-05,0.228406673826572,0.838228514027332,0.416677296951459,1.19380216519564,0.743919438830289,-307.768828480268
"../data/Nb0lkuUSIll2q8a8N860_responses.xlsx","LoFreq",0.607372343670249,0.189698737894634,4.06994997693545e-05,0.394138231091035,0.85540555697006,0.226056159642523,1.39931889705027,0.778905678501815,-221.9971874979
"../data/Nb0lkuUSIll2q8a8N860_responses.xlsx","HiFreq",0.556707576797635,0,4.06918301809282e-05,0.153964202988741,0.748944361978146,0.300307983788621,1.04068357248235,0.70165548330715,-206.011376057764
"../data/ndr0HQCuhou3eUsP26Nl_responses.xlsx","AllFreq",0.529900966952937,0,4.07883536870348e-05,0.314023070503943,0.207824638182521,3.13384721580352e-05,0.412387303417235,0.558367036277104,-394.38952414108
"../data/ndr0HQCuhou3eUsP26Nl_responses.xlsx","LoFreq",0.54077227577136,0,4.06941376408433e-05,0.41192785385873,0.294754430603498,3.13384721580352e-05,0.549898528434446,0.582492160383936,-295.301113101387
"../data/ndr0HQCuhou3eUsP26Nl_responses.xlsx","HiFreq",0.51951595185119,0,4.1635194363471e-05,0.293066900683434,0.123465279915564,3.13384721580352e-05,0.372806465370761,0.534743681657346,-301.58327308263
"../data/nFxE0RRpNflColeXjnka_responses.xlsx","AllFreq",0.632156673239479,0.263635690774771,4.08018487332147e-05,0.567643239766024,0.806521342013551,0.0863849735364424,1.2837122167774,0.790534578876304,-400.548229790702
"../data/nFxE0RRpNflColeXjnka_responses.xlsx","LoFreq",0.66581341240726,0.649980217885386,4.07193419015251e-05,0.786020063483908,0.308915505869108,8.14131056145113e-05,1.49706487014882,0.855180463591751,-290.379378204548
"../data/nFxE0RRpNflColeXjnka_responses.xlsx","HiFreq",0.603337926318545,0,4.0820849384112e-05,0.370198151526935,0.86110533934547,0.261071222577631,1.1079735099865,0.728523580192359,-308.437372520706
"../data/NgbvXVAp9PLAcra4xUDR_responses.xlsx","AllFreq",0.491630440564222,0.083039243438497,4.07234979926442e-05,0.249976558078149,0,3.13384721580352e-05,0.266061617585135,0.541485320522042,-264.820646962948
"../data/NgbvXVAp9PLAcra4xUDR_responses.xlsx","LoFreq",0.50879477837816,0.165098638707928,4.06979191036984e-05,0.374130690943933,0,3.13384721580352e-05,0.445138799360563,0.582512419232899,-191.762805557868
"../data/NgbvXVAp9PLAcra4xUDR_responses.xlsx","HiFreq",0.476187285023116,0.00368351665212407,6.02012118813609e-05,0.216873708672024,0,3.13384721580352e-05,0.230272168936747,0.501809970422528,-199.252876896298
"../data/Ngs2Jw9TrpxIqspW3EKg_responses.xlsx","AllFreq",0.629467360593026,0.494506736012601,4.06937945241235e-05,0.549468571780628,0,8.14925075065247e-05,1.94466290629297,0.747206035122417,-299.349373327884
"../data/Ngs2Jw9TrpxIqspW3EKg_responses.xlsx","LoFreq",0.665926239560577,0.613276972816871,4.06946570336773e-05,0.685750403240611,0,3.10940104076779e-05,2.29981631582024,0.806587391923586,-172.281480757865
"../data/Ngs2Jw9TrpxIqspW3EKg_responses.xlsx","HiFreq",0.596432843500224,0.375681506349827,4.07014112557309e-05,0.453038276435408,0,3.11018448649043e-05,1.71889231139012,0.687797183632938,-174.649803071847
