File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
../../Data/ACgyhnxLa8BwQEp0jqg4_responses.xlsx,Sheet1,Conf,0.07,0,0.46,0.52,0,0.81,0.67,Yes
../../Data/aFdlob7xQe0Nkoo5bIM0_responses.xlsx,Sheet1,Conf,0.09,0,0.3,0.83,0.39,1.16,0.75,
../../Data/aFWuMmWP6ingJtdOPLps_responses.xlsx,Sheet1,Conf,0.03,0,0.1,0.11,0,0.41,0.54,
../../Data/aJcrJ8M1IchvYCFKj7lp_responses.xlsx,Sheet1,Conf,0.04,0,0.18,0,0,0.19,0.52,
../../Data/Ak2Wvv4oJPUi339vLe63_responses.xlsx,Sheet1,Conf,0.34,0.15,0.47,0.55,0.19,0.92,0.77,Yes
../../Data/aknEH1A6P6TPkt4UtWP4_responses.xlsx,Sheet1,Conf,0.05,0,0.2,0.17,0,0.45,0.57,
../../Data/aM3Kw1D888nylpTvov6u_responses.xlsx,Sheet1,Conf,0.01,0,0.08,0.02,0,0.26,0.51,
../../Data/APb1yHY02MDw6uIMXsGP_responses.xlsx,Sheet1,Conf,0,0,0.18,0.01,0,0.21,0.5,
../../Data/aq479F2OiHvxdVs3uE1d_responses.xlsx,Sheet1,Conf,0.26,0.04,0.38,0.12,0,0.58,0.65,
../../Data/aTLctsSSDxDNOxjny6hM_responses.xlsx,Sheet1,Conf,0.2,0,0.87,2.9,1.57,3,0.98,
../../Data/b1UDYv3vLQsRXOqb33ga_responses.xlsx,Sheet1,Conf,0.33,0.13,0.45,0,0,0.31,0.67,
../../Data/BBhfuqXNkrBhghK87DsX_responses.xlsx,Sheet1,Conf,0.13,0,0.26,0.7,0.26,1.13,0.73,
../../Data/BBQgWA4Em8oSWMLx6pD6_responses.xlsx,Sheet1,Conf,0.54,0.33,0.64,1.05,0.59,1.51,0.89,
../../Data/bddlnTSAiLsaHFpS9AQp_responses.xlsx,Sheet1,Conf,0.23,0,0.49,0.16,0,0.59,0.65,
../../Data/bemm0iU4kWxNLDOLRuwt_responses.xlsx,Sheet1,Conf,0.07,0,0.14,0.21,0,0.62,0.59,
../../Data/BEwXspCxVBrlwnnWoNNv_responses.xlsx,Sheet1,Conf,0.35,0,0.55,0,0,0.73,0.67,
../../Data/BhuXxSlAESArmyCtFEyf_responses.xlsx,Sheet1,Conf,0.4,0,0.59,0.07,0,0.68,0.71,
../../Data/BnnwA7h5gxb7c2jKGDjl_responses.xlsx,Sheet1,Conf,0,0,0.46,0.47,0,0.71,0.63,
../../Data/BRCnD6kItx98qCCRW7MO_responses.xlsx,Sheet1,Conf,0.03,0,0.46,1.33,0.67,1.62,0.83,
../../Data/brKsa3lhnOSooByTqaSi_responses.xlsx,Sheet1,Conf,0.04,0,0.26,0.89,0.47,1.15,0.75,
../../Data/bslCpghpkeRqiG5TypEt_responses.xlsx,Sheet1,Conf,0,0,0.22,0.12,0,0.36,0.53,
../../Data/cey7wlOYPHuh3eEbUA1L_responses.xlsx,Sheet1,Conf,0,0,0.25,0,0,0.18,0.5,
../../Data/Civ8jdtyhrJeU0JcJ5m4_responses.xlsx,Sheet1,Conf,NA,NA,NA,NA,NA,NA,NA,
../../Data/cj69Om7OukRikUDfOWXC_responses.xlsx,Sheet1,Conf,0.33,0.04,0.47,0.74,0.25,1.27,0.8,
../../Data/cLxXDFgr6nnroVYLHDx1_responses.xlsx,Sheet1,Conf,0.26,0,0.45,0.63,0.16,1.11,0.76,
../../Data/Cnu9MncTroHAKmmRY5oa_responses.xlsx,Sheet1,Conf,0.47,0,0.59,2.58,2.11,3,0.98,
../../Data/cTk7v32c5SOscYoWEP1b_responses.xlsx,Sheet1,Conf,0.56,0.37,0.67,1.07,0.5,1.59,0.9,
../../Data/cxCdkdtKXasHO7KgaAil_responses.xlsx,Sheet1,Conf,0.42,0.24,0.52,0.21,0,0.74,0.74,
../../Data/d3ENGYqtS0M2cipB7IaN_responses.xlsx,Sheet1,Conf,0.1,0.04,0.17,0,0,0.45,0.55,
../../Data/D95ms7JHPAGc5QDTcRtT_responses.xlsx,Sheet1,Conf,0.23,0.08,0.34,0.53,0.2,0.87,0.73,
../../Data/D9Yd8tC7yEfBGutCdJa9_responses.xlsx,Sheet1,Conf,0.14,0.04,0.23,0.43,0.11,0.73,0.67,
../../Data/Dck1yEyMxo75mFmiOP4U_responses.xlsx,Sheet1,Conf,0.13,0,0.33,0,0,0.33,0.57,
